seed,base_collision,ot_collision,dro_collision,ot_dro_collision
0,0,0,0,0
8000,0,0,1,0
16000,0,0,1,0
24000,0,0,0,0
32000,0,0,0,0
40000,0,0,0,0
48000,0,0,0,0
56000,0,0,0,1
64000,0,0,0,0
72000,0,0,0,0
80000,0,0,0,0
88000,0,0,0,0
96000,0,0,0,0
104000,0,0,0,0
112000,0,0,0,0
120000,0,0,0,0
128000,0,0,0,0
136000,0,0,0,0
144000,0,0,0,0
152000,0,0,0,0
160000,0,0,0,0
168000,0,0,1,0
176000,0,0,0,0
184000,0,0,0,0
192000,0,0,0,0
200000,0,0,1,0
208000,0,0,0,0
216000,0,0,0,0
224000,1,0,0,0
232000,0,0,0,0
240000,0,0,0,0
248000,0,0,0,1
256000,0,0,0,0
264000,0,0,0,0
272000,0,0,1,0
280000,0,0,0,0
288000,0,0,0,0
296000,0,0,0,0
304000,0,0,1,0
312000,1,0,0,0
320000,0,0,0,0
328000,0,0,0,0
336000,0,0,1,1
344000,0,0,0,0
352000,0,0,1,0
360000,0,0,0,0
368000,0,0,0,0
376000,0,0,1,1
384000,0,0,0,0
392000,0,1,1,1
400000,0,0,0,0
408000,0,0,0,0
416000,0,0,0,0
424000,0,0,0,0
432000,0,0,0,0
440000,0,0,0,0
448000,0,0,0,0
456000,0,0,0,0
464000,0,0,0,0
472000,0,0,0,0
480000,0,0,0,0
488000,0,0,0,0
496000,0,0,0,1
504000,0,0,0,0
512000,0,0,0,0
520000,0,0,0,0
528000,0,0,0,0
536000,0,0,0,1
544000,0,0,0,0
552000,0,0,0,0
560000,0,0,1,1
568000,1,0,0,0
576000,0,0,0,0
584000,0,0,1,0
592000,0,0,0,0
600000,0,0,0,0
608000,0,0,0,0
616000,0,0,0,0
624000,0,0,0,0
632000,0,0,0,0
640000,0,0,0,0
648000,0,0,0,0
656000,0,0,1,1
664000,0,0,0,0
672000,0,0,1,0
680000,0,1,0,0
688000,0,0,0,0
696000,0,0,0,0
704000,0,0,0,0
712000,0,0,0,0
720000,0,0,0,0
728000,1,1,0,1
736000,0,0,0,0
744000,0,0,0,0
752000,0,0,0,1
760000,0,0,0,0
768000,0,0,0,0
776000,0,0,0,0
784000,0,0,0,0
792000,0,1,0,0
800000,0,0,0,0
808000,0,0,1,0
816000,0,0,0,1
824000,0,0,0,0
832000,0,0,0,0
840000,0,0,0,0
848000,0,0,0,0
856000,0,0,0,1
864000,0,0,0,0
872000,0,0,0,0
880000,0,0,0,0
888000,0,0,0,0
896000,0,0,0,0
904000,0,0,0,0
912000,0,0,0,0
920000,0,0,0,0
928000,0,0,0,1
936000,0,1,0,0
944000,0,1,0,1
952000,0,0,0,0
960000,0,0,0,0
968000,0,0,0,0
976000,0,0,0,0
984000,0,0,1,0
992000,0,0,0,0
1000000,0,0,0,0
1008000,0,0,0,0
1016000,0,0,0,0
1024000,0,0,0,0
1032000,0,0,0,0
1040000,0,0,0,0
1048000,0,0,0,0
1056000,0,0,0,1
1064000,0,0,0,0
1072000,0,0,0,0
1080000,0,0,0,0
1088000,0,0,1,1
1096000,0,0,0,0
1104000,0,0,0,0
1112000,0,0,0,1
1120000,0,0,0,0
1128000,0,0,0,0
1136000,0,0,0,0
1144000,0,0,0,0
1152000,0,0,1,1
1160000,0,0,0,0
1168000,0,0,0,0
1176000,0,0,0,0
1184000,0,0,0,0
1192000,0,0,0,0
